401,0,"News Online Today | publication date | 1998/04/26
Abilia | mentioned in | News Online Today",3.2031781673431396,1119,88
410,0,"News Online Today | publication date | 2009/03/08
POK | participant in | POK campaign
POK | country | ABILA
Kronos | country | ABILA
Juliana | country | ABILA
Kronos government | country | ABILA
Kronos government | participant in | POK campaign
Saturday | point in time | 2009/03/08
Karel | country | ABILA
Henk Bodrogi | country | ABILA
Karel | participant in | POK campaign
Henk Bodrogi | participant in | POK campaign
Kronos | participant in | POK campaign
Juliana | participant in | POK campaign
Kronos government | point in time | Saturday
POK | point in time | Saturday
Karel | point in time | Saturday
Henk Bodrogi | point in time | Saturday
Kronos | point in time | Saturday
Juliana | point in time | Saturday
News Online Today | country | ABILA
News Online Today | point in time | Saturday
POK campaign | point in time | 2009/03/08
POK campaign | country | ABILA
POK campaign | point in time | Saturday",10.309483289718628,1133,262
411,0,"News Online Today | publication date | 2011/07/28
POK | country | ABILA
Kronos | country | ABILA
Rufus Drymiau | country | ABILA
News Online Today | country | ABILA
POK | located in the administrative territorial entity | ABILA
Kronos | located in the administrative territorial entity | ABILA
Rufus Drymiau | located in the administrative territorial entity | ABILA
News Online Today | located in the administrative territorial entity | ABILA",4.313400983810425,1117,110
412,0,"News Online Today | publication date | 2009/03/12
Activist Leader Karel Arrested for Tax Evasion | publication date | 2009/03/12
Activist Leader Karel Arrested for Tax Evasion | subject | Elian Karel
Activist Leader Karel Arrested for Tax Evasion | publisher | News Online Today
Elian Karel | residence | ABILA
Elian Karel | employer | Kronos
Michale Kraft | employer | Kronos
Michale Kraft | residence | ABILA
Kronos | location | ABILA
News Online Today | location | ABILA
Activist Leader Karel Arrested for Tax Evasion | location | ABILA
Elian Karel | subject of | Activist Leader Karel Arrested for Tax Evasion
Michale Kraft | colleague | Elian Karel
Elian Karel | colleague | Michale Kraft",8.902150869369507,1129,189
413,0,"News Online Today | publication date | 21 June 2009
ABILA | country | Kronos
Elian Karel | country | Kronos
Silvia Marek | country | Kronos
Protectors of Kronos | inception | 19 June
Protectors of Kronos | country | Kronos
Elian Karel | member of | Protectors of Kronos
Silvia Marek | member of | Protectors of Kronos
ABILA | located in the administrative territorial entity | Kronos
Elian Karel | located in the administrative territorial entity | Kronos
Silvia Marek | located in the administrative territorial entity | Kronos
Protectors of Kronos | located in the administrative territorial entity | Kronos
News Online Today | located in the administrative territorial entity | ABILA
News Online Today | country | ABILA
News Online Today | inception | 21 June 2009
Protectors of Kronos | inception | 19 June
News Online Today | inception | 21 June 2009
Protectors of Kronos | inception | 19 June
Elian Karel | affiliation | Protectors of Kronos
Silvia Marek | affiliation | Protectors of Kronos
News Online Today | publication date | 21 June 2009
Protectors of Kronos | inception | 19 June
News Online Today | publication date | 21 June 2009
Protectors of Kronos | inception | 19 June
Elian Karel | affiliation | Protectors of Kronos
Silvia Marek | affiliation | Protectors of Kronos",12.39314579963684,1127,328
414,0,"Sten Sanjorge, Jr. | employer | GASTECH INTERNATIONAL
Sten Sanjorge, Jr. | parent | Sten Sanjorge, Sr.
Sten Sanjorge, Sr. | child | Sten Sanjorge, Jr.
Sten Sanjorge, Jr. | employer | GAStech
Sten Sanjorge, Sr. | employer | GAStech
GASTECH INTERNATIONAL | founded by | Sten Sanjorge, Sr.
GASTECH INTERNATIONAL | CEO | Sten Sanjorge, Jr.
GAStech | founded by | Sten Sanjorge, Sr.
GAStech | CEO | Sten Sanjorge, Jr.
GAStech | founded | 1961
GASTECH INTERNATIONAL | founded | 1961
Sten Sanjorge, Jr. | age | 52 years
Sten Sanjorge, Sr. | age | 52 years
GAStech | value | $3.75 billion
GASTECH INTERNATIONAL | value | $3.75 billion
News Online Today | publication date | 2013/09/03
CENTRUM | employer | Sten Sanjorge, Jr.
CENTRUM | employer | Sten Sanjorge, Sr.
Tethys | employer | Sten Sanjorge, Jr.
Tethys | employer | Sten Sanjorge, Sr.
Sten Sanjorge, Jr. | employer | Tethys
Sten Sanjorge, Sr. | employer | Tethys
Sten Sanjorge, Jr. | employer | CENTRUM
Sten Sanjorge, Sr. | employer | CENTRUM
News Online Today | published on | Monday
GAStech | mentioned in | News Online Today
GASTECH INTERNATIONAL | mentioned in | News Online Today
Sten Sanjorge, Jr. | mentioned in | News Online Today
Sten Sanjorge, Sr. | mentioned in | News Online Today
CENTRUM | mentioned in | News Online Today
Tethys | mentioned in | News Online Today
SANJORGE JR. | mentioned in | News Online Today
SANJORGE JR. | employer | GAStech
SANJORGE JR. | employer | GASTECH INTERNATIONAL
SANJORGE JR. | parent | Sten Sanjorge, Sr.
SANJORGE JR. | child | Sten Sanjorge, Jr.
SANJORGE JR. | employer | CENTRUM
SANJORGE JR. | employer | Tethys
SANJORGE JR. | age | 52 years
SANJORGE JR. | value | $3.75 billion
SANJORGE JR. | mentioned in | News Online Today",22.7872531414032,1156,569
415,0,"News Online Today | publication date | 1998/11/10
Ministry of Health | country | ABILA
Kronos | country | ABILA
Cesare Nespola | country | ABILA
Tiskele Bend | country | ABILA
Elodis | country | ABILA
Kronos | employer | Cesare Nespola
Tiskele Bend | employer | Cesare Nespola
Elodis | employer | Cesare Nespola
Ministry of Health | employer | Cesare Nespola
News Online Today | country | ABILA
Cesare Nespola | occupation | Ministry of Health
Cesare Nespola | occupation | Kronos
Cesare Nespola | occupation | Tiskele Bend
Cesare Nespola | occupation | Elodis
Cesare Nespola | occupation | News Online Today
Ministry of Health | located in the administrative territorial entity | ABILA
Kronos | located in the administrative territorial entity | ABILA
Tiskele Bend | located in the administrative territorial entity | ABILA
Elodis | located in the administrative territorial entity | ABILA
News Online Today | located in the administrative territorial entity | ABILA
Cesare Nespola | located in the administrative territorial entity | ABILA",10.370318174362183,1127,277
416,0,"News Online Today | publication date | 2009/02/19
GASTECH | country | POK
GASTECH | located in the administrative territorial entity | POK
GASTECH | subsidiary | GAStech International
GAStech International | parent organization | GASTECH
ABILA | country | POK
ABILA | located in the administrative territorial entity | POK
Kronos | country | POK
Kronos | located in the administrative territorial entity | POK
GAStech International | country | POK
GAStech International | located in the administrative territorial entity | POK
News Online Today | country | POK
News Online Today | located in the administrative territorial entity | POK
GASTECH | publication date | 2009/02/19
GAStech International | publication date | 2009/02/19
ABILA | publication date | 2009/02/19
Kronos | publication date | 2009/02/19
News Online Today | mentioned in | GASTECH
News Online Today | mentioned in | GAStech International
News Online Today | mentioned in | ABILA
News Online Today | mentioned in | Kronos",12.56296157836914,1120,255
417,0,"News Online Today | publication date | 2007/03/21
GASTECH | event date | 2007/03/21
ELODIS | inception | 2007/03/21
Kronos | inception | 2007/03/21
Elodis Primary School | inception | 2007/03/21
Spring Program | inception | 2007/03/21
Elodis Primary School | part of | ELODIS
Spring Program | part of | ELODIS
Spring Program | part of | Elodis Primary School
Kronos | part of | GASTECH
News Online Today | covers event | GASTECH
News Online Today | covers entity | ELODIS
News Online Today | covers entity | Kronos
News Online Today | covers entity | Elodis Primary School
News Online Today | covers event | Spring Program",6.128876447677612,1122,187
418,0,"PRESIDENT KAPELOU II ELECTED BY RECORD MARGIN | publication date | 2010/10/03
PRESIDENT KAPELOU II ELECTED BY RECORD MARGIN | publisher | News Online Today
President Dorel Kapelou II | position held | President's Democratic Party of Kronos
President Dorel Kapelou II | nationality | Kronesian
President Dorel Kapelou II | position held | General Assembly
President's Democratic Party of Kronos | country | Kronos
Organization of Business and Unions Party | country | Kronos
Party of Kronos Industrialists | country | Kronos
ABILA | country | Kronos
Kronos | contains administrative territorial entity | ABILA
President Dorel Kapelou II | country | Kronos
President's Democratic Party of Kronos | located in the administrative territorial entity | Kronos
Organization of Business and Unions Party | located in the administrative territorial entity | Kronos
Party of Kronos Industrialists | located in the administrative territorial entity | Kronos
ABILA | located in the administrative territorial entity | Kronos
Kronos | contains administrative territorial entity | ABILA
President Dorel Kapelou II | located in the administrative territorial entity | Kronos
President's Democratic Party of Kronos | contains administrative territorial entity | President Dorel Kapelou II
Organization of Business and Unions Party | contains administrative territorial entity | President Dorel Kapelou II
Party of Kronos Industrialists | contains administrative territorial entity | President Dorel Kapelou II
President Dorel Kapelou II | member of political party | President's Democratic Party of Kronos
President Dorel Kapelou II | member of political party | Organization of Business and Unions Party
President Dorel Kapelou II | member of political party | Party of Kronos Industrialists
President Dorel Kapelou II | position held | President of Kronos
President Dorel Kapelou II | position held | General Assembly of Kronos
President Dorel Kapelou II | position held | President's Democratic Party of Kronos
President Dorel Kapelou II | position held | Organization of Business and Unions Party
President Dorel Kapelou II | position held | Party of Kronos Industrialists
President Dorel Kapelou II | position held | President of ABILA
President Dorel Kapelou II | position held | General Assembly of ABILA
President Dorel Kapelou II | position held | President's Democratic Party of ABILA
President Dorel Kapelou II | position held | Organization of Business and Unions Party of ABILA
