doc_key,processed_entities,output_tokens,entities_not_from_list
0,"One World Research Institute for Social Development | located in the administrative territorial entity | Kronos
KRONOS | subject | foreign affairs
Pondo Resses | publication date | 1998/05/15
Kronos | subject | justice
ELODIS | contributor | Henk Bodrogi
Reese | subject | justice
Elodis Weekly Journal | subject | foreign affairs
ELODIS | subject | health
Ministry of Health | employer | Reese
KRONOS | publication date | 1998/05/15
All News Today | subject | justice
KRONOS | subject | justice
ELODIS | subject | foreign affairs
Kronos | publication date | 1998/05/15
Elodis Weekly Journal | publication date | 1998/05/15
KRONOS | contributor | Henk Bodrogi
Reese | contributor | Henk Bodrogi
Reese | subject | health
Henk Bodrogi | contributor | Elodis Weekly Journal
Pondo Resses | subject | health
Henk Bodrogi | contributor | KRONOS
Pondo Resses | contributor | Henk Bodrogi
Reese | subject | interior
Pondo Resses | subject | interior",568,0
7,"ELODIS | publisher | Wellness for All
ELODIS PUBLIC HEALTH FACT SHEET 2004 | publisher | Elodis Community Health Center
Elodis Community Health Center | located in the administrative territorial entity | ELODIS
ELODIS | publisher | ELODIS PUBLIC HEALTH FACT SHEET 2004
Elodis municipal website | publisher | ELODIS PUBLIC HEALTH FACT SHEET 2004
2004/05/29 | point in time | ELODIS PUBLIC HEALTH FACT SHEET 2004 publication
Elodis municipal website | inception | 1998
All News Today | publication date | 2004/05/29
Kronos | publisher | Wellness for All
Elodis Community Health Center | inception | 1998
ELODIS | publisher | Elodis municipal website
2004/05/29 | point in time | All News Today publication
ELODIS PUBLIC HEALTH FACT SHEET 2004 | publisher | ELODIS
Wellness for All | publisher | Elodis Community Health Center
Elodis municipal website | located in the administrative territorial entity | ELODIS
Elodis Community Health Center | publisher | ELODIS PUBLIC HEALTH FACT SHEET 2004
Kronos | publisher | Elodis Community Health Center
1998 | point in time | Elodis Community Health Center inception
ELODIS PUBLIC HEALTH FACT SHEET 2004 | publication date | 2004/05/29
Kronos | publisher | ELODIS PUBLIC HEALTH FACT SHEET 2004
1998 | point in time | Elodis municipal website inception
ELODIS | contains administrative territorial entity | Elodis municipal website
ELODIS | publisher | Kronos
ELODIS | contains administrative territorial entity | Elodis Community Health Center
Wellness for All | publisher | ELODIS
Kronos | publisher | Elodis municipal website",404,0
8,"Kronos | contains administrative territorial entity | Kronos government
Juliana Vann | notable work | Kronos
Kronos government | located in the administrative territorial entity | Kronos
Kronos | contains administrative territorial entity | Elodis
All News Today | publication date | 2013/06/21
Protectors of Kronos | located in the administrative territorial entity | Kronos
Kronos | contains administrative territorial entity | Tiskele River
Abila Police | inception | June 19th
POK | abbreviation | Protectors of Kronos
POK | located in the administrative territorial entity | Kronos
benzene | performer | Juliana Vann
POK | country | Kronos
Abila | located in the administrative territorial entity | Kronos
Kronos | contains administrative territorial entity | Protectors of Kronos
Kronos | performer | Juliana Vann
Abila Police | affiliation | Kronos government
Elodis | country | Kronos
Protectors of Kronos | country | Kronos
Abila Police | affiliation | Protectors of Kronos
Kronos government | country | Kronos
Kronos | contains administrative territorial entity | Abila
WHO BRINGS A GUN TO A SIT IN? | publisher | All News Today
Abila Police | located in the administrative territorial entity | Abila
Juliana Vann | notable work | benzene
Tiskele River | country | Kronos
Tiskele River | located in the administrative territorial entity | Kronos
Abila Police | country | Abila
Protectors of Kronos | abbreviation | POK
Kronos | inception | 1998
WHO BRINGS A GUN TO A SIT IN? | publication date | 2013/06/21
benzene | inception | 1998
Elodis | located in the administrative territorial entity | Kronos
Juliana Vann | inception | 1998
Kronos government | has part | Protectors of Kronos
POK | affiliation | Kronos government",433,0
9,"Henk Bodrogi | position held by | Minister of Health
Henk Bodrogi | part of | Protectors of Kronos
All News Today | publication date | 2001/03/22
Elodis | part of | Homeland Illumination
Homeland Illumination | country | Kronos
Minister of Health | position held by | Cesare Nespola
Abila | part of | Protectors of Kronos
Abila | part of | Homeland Illumination
Abila | country | Kronos
General Assembly | country | Kronos
Cesare Nespola | part of | Protectors of Kronos
Elodis | country | Kronos
Protectors of Kronos | country | Kronos
Homeland Illumination | part of | Homeland Illumination
Homeland Illumination | part of | General Assembly
Elodis | part of | General Assembly
General Assembly | part of | Protectors of Kronos
Cesare Nespola | country | Kronos
Cesare Nespola | part of | Homeland Illumination
Cesare Nespola | part of | General Assembly
Henk Bodrogi | part of | Homeland Illumination
Henk Bodrogi | part of | General Assembly
Homeland Illumination | part of | Protectors of Kronos
Elodis | part of | Protectors of Kronos
Abila | part of | General Assembly
Henk Bodrogi | country | Kronos",309,0
10,"ABILA | inception | 1997
Elodis | contains administrative territorial entity | Minister of Health
Kronos | point in time | 1998/11/15
Minister of Health | country | Elodis
Protectors of Kronos | country | Elodis
Kronos | inception | 1997
Cesare Nespola | position held | Minister of Health
Elodis | point in time | 1990s
Elodis | contains administrative territorial entity | Protectors of Kronos
ABILA | point in time | 1997
All News Today | publication date | 1998/11/15
All News Today | point in time | 1990s
ABILA | point in time | 1998/11/15
Elodis | contains administrative territorial entity | ABILA
Kronos | point in time | 1990s
ABILA | country | Elodis
Protectors of Kronos | point in time | 1998/11/15
Elodis | contains administrative territorial entity | All News Today
Elodis | contains administrative territorial entity | Cesare Nespola
1990s | point in time | 1997
Minister of Health | point in time | 1997
ABILA | point in time | 1990s
POK | point in time | 1990s
POK | abbreviation for | Protectors of Kronos
Elodis | point in time | 1998/11/15
Kronos | country | Elodis
Elodis | contains administrative territorial entity | Kronos
Cesare Nespola | point in time | 1990s
All News Today | point in time | 1998/11/15
Protectors of Kronos | point in time | 1990s
Minister of Health | point in time | 1990s
All News Today | point in time | 1997
All News Today | country | Elodis
Kronos | point in time | 1997
Cesare Nespola | country | Elodis
Protectors of Kronos | point in time | 1997
POK | point in time | 1997
POK | point in time | 1998/11/15
Minister of Health | point in time | 1998/11/15
Protectors of Kronos | inception | 1998/11/15
Cesare Nespola | point in time | 1997
Cesare Nespola | point in time | 1998/11/15
Elodis | contains administrative territorial entity | POK
Elodis | point in time | 1997
Protectors of Kronos | notable work | All News Today",597,0
11,"President's office | located in the administrative territorial entity | GAStech
ELIAN KAREL | member of | Protectors of Kronos
Karel | occupation | Chief of Police
1998 | point in time | GAStech
ELIAN KAREL | place of detention | KRONOS JAIL
ELIAN KAREL | nationality | ABILA, Kronos
Elodis | country | GAStech
GAStech | inception | 1998
POK mission | organizer | Protectors of Kronos
Protectors of Kronos | inception | March 12
Elodis | occupation | Minister of Justice
POK mission | located in the administrative territorial entity | GAStech
Elian Karel | place of detention | KRONOS JAIL
Juliana Vann | employer | GAStech
POK mission | organizer | GAStech
KRONOS JAIL | located in the administrative territorial entity | ABILA, Kronos
Elodis | employer | GAStech
POK mission | participant | ELIAN KAREL
Karel | country | GAStech
Elodis | country | ABILA, Kronos
All News Today | location of formation | Elodis
GAStech | contains administrative territorial entity | President's office
Elian Karel | nationality | ABILA, Kronos
Juliana Vann | occupation | President's office
ELIAN KAREL | place of detention | Abila City Prison
POK mission | participant | Elodis
Protectors of Kronos | headquarters location | ABILA, Kronos
GAStech | contains administrative territorial entity | Chief of Police
Abila City Prison | located in the administrative territorial entity | ABILA, Kronos
All News Today | publication date | 2009/06/20
POK mission | inception | 1998
1998 | point in time | POK mission
Karel | employer | GAStech
Elian Karel | place of detention | Abila City Prison
GAStech | contains administrative territorial entity | Minister of Justice
Tethyn | located in the administrative territorial entity | GAStech
Juliana Vann | country | GAStech
Chief of Police | located in the administrative territorial entity | GAStech
POK mission | participant | Juliana Vann
Minister of Justice | located in the administrative territorial entity | GAStech
Tethyn | country | GAStech
POK mission | participant | Karel
POK mission | participant | Elian Karel
Elian Karel | member of | Protectors of Kronos
POK mission | country | GAStech
All News Today | location of formation | ABILA, Kronos",573,0
12,"Adian Koppolis | country | Kronos
Valeria | inception | 2007/03/21
Adian Koppolis | employer | GASTECH
GAStech | country | Kronos
Adian Koppolis | inception | 2007/03/21
Celia | located in the administrative territorial entity | ELODIS
Valeria | employer | GASTECH
Kronos | inception | 2007/03/21
Marcellus Edris | located in the administrative territorial entity | ELODIS
GAStech | inception | 2007/03/21
